,x,y,z,roll,pitch,yaw
2033,203.263001203537,70.4224395751953,-2.69276165962219,0,0,0
2034,203.400919675827,70.8296051025391,-2.75043416023254,0,0,0
2035,203.500602245331,71.0357208251953,-2.78115391731262,0,0,0
2036,203.571147203445,71.2445220947266,-2.81273198127747,0,0,0
2037,203.700978279114,71.6146774291992,-2.86958742141724,0,0,0
2038,203.787023305893,71.7752151489258,-2.89542961120605,0,0,0
2039,203.901284456253,72.1546630859375,-2.95692801475525,0,0,0
2040,203.995111227035,72.3739929199219,-2.99431586265564,0,0,0
2041,204.103661298752,72.7070159912109,-3.05218291282654,0,0,0
2042,204.183081388474,72.8754272460938,-3.08271646499634,0,0,0
2043,204.300259590149,73.3300170898437,-3.16594552993774,0,0,0
2044,204.400621891022,73.5594177246094,-3.21095037460327,0,0,0
2045,204.483184337616,73.7332305908203,-3.24586129188538,0,0,0
2046,204.600412845612,74.2012481689453,-3.3411238193512,0,0,0
2047,204.701670408249,74.4367828369141,-3.39275193214416,0,0,0
2048,204.782994508743,74.6148071289062,-3.43283200263977,0,0,0
2049,204.909691810608,75.0932006835938,-3.54224896430969,0,0,0
2050,205.000708341599,75.333251953125,-3.60154938697815,0,0,0
2051,205.087092638016,75.5746154785156,-3.66292405128479,0,0,0
2052,205.200751543045,75.9383544921875,-3.75821757316589,0,0,0
2053,205.300243139267,76.2421569824219,-3.84224224090576,0,0,0
2054,205.387139797211,76.4248504638672,-3.89495515823364,0,0,0
2055,205.50057554245,76.9136199951172,-4.03874492645264,0,0,0
2056,205.600203514099,77.1574249267578,-4.1162691116333,0,0,0
2057,205.695071935654,77.4014434814453,-4.19631099700928,0,0,0
2058,205.801654815674,77.8284759521484,-4.34089040756226,0,0,0
2059,205.901180744171,78.0714263916016,-4.42867612838745,0,0,0
2060,205.995146274567,78.3140106201172,-4.51913022994995,0,0,0
2061,206.151011228561,78.7980804443359,-4.70545148849487,0,0,0
2062,206.151953458786,78.7980804443359,-4.70545148849487,0,0,0
2063,206.301534175873,79.2789764404297,-4.90266752243042,0,0,0
2064,206.390971899033,79.5167999267578,-5.00769186019897,0,0,0
2065,206.479155540466,79.7533416748047,-5.11549520492554,0,0,0
2066,206.600019693375,80.2235565185547,-5.33667516708374,0,0,0
2067,206.700048208237,80.3973236083984,-5.42446136474609,0,0,0
2068,206.779253959656,80.6276702880859,-5.5433349609375,0,0,0
2069,206.900905370712,81.0845184326172,-5.78655624389648,0,0,0
2070,207.000673055649,81.3087921142578,-5.91454315185547,0,0,0
2071,207.094987392426,81.5308074951172,-6.04517555236816,0,0,0
2072,207.258944988251,81.9700164794922,-6.31165504455566,0,0,0
2073,207.25982260704,81.9700164794922,-6.31165504455566,0,0,0
2074,207.400305747986,82.3989105224609,-6.5882511138916,0,0,0
2075,207.483038187027,82.5558776855469,-6.6964693069458,0,0,0
2076,207.600231170654,82.9698791503906,-6.98801517486572,0,0,0
2077,207.699937105179,83.1713562011719,-7.13951206207275,0,0,0
2078,207.791219949722,83.3696899414062,-7.29318714141846,0,0,0
2079,207.901168584824,83.7111663818359,-7.56580352783203,0,0,0
2080,208.000556707382,83.9009552001953,-7.72604179382324,0,0,0
2081,208.099183320999,84.0873565673828,-7.88818359375,0,0,0
2082,208.167021989822,84.2245483398438,-8.011155128479,0,0,0
2083,208.301394701004,84.5848388671875,-8.34104251861572,0,0,0
2084,208.395030498505,84.7586059570313,-8.51064777374268,0,0,0
2085,208.504796028137,85.0564498901367,-8.81019401550293,0,0,0
2086,208.600477457046,85.2208786010742,-8.98496055603027,0,0,0
2087,208.691085338592,85.381706237793,-9.16110420227051,0,0,0
2088,208.805669546127,85.656852722168,-9.47169876098633,0,0,0
2089,208.806615352631,85.656852722168,-9.47169876098633,0,0,0
2090,208.99519944191,85.9583053588867,-9.83053207397461,0,0,0
