,time,n_p,rudder
357,35.7000098228455,21.6642086969805,0
358,35.799955368042,21.6642086969805,0
359,35.9000065326691,21.6642086969805,0
360,36.0000131130219,21.6642086969805,0
361,36.099999666214,21.6642086969805,0
362,36.2002213001251,21.6642086969805,0
363,36.3001985549927,21.6642086969805,0
364,36.3999853134155,21.6642086969805,0
365,36.5000503063202,21.6642086969805,0
366,36.6003844738007,21.6642086969805,0
367,36.7001645565033,21.6642086969805,0
368,36.8000586032867,21.6642086969805,0
369,36.900004863739,21.6642086969805,0
370,37.0000286102295,21.6642086969805,0
371,37.1000204086304,21.6642086969805,0
372,37.2001156806946,21.6642086969805,0
373,37.2999904155731,21.6642086969805,0
374,37.4000930786133,21.6642086969805,0
375,37.5000405311584,21.6642086969805,0
376,37.6000027656555,21.6642086969805,0
377,37.7001755237579,21.6642086969805,0
378,37.7999742031097,21.6642086969805,0
379,37.9089734554291,21.6642086969805,0
380,38.0003817081451,21.6642086969805,0
381,38.1000325679779,21.6642086969805,0
382,38.1999912261963,21.6642086969805,0
383,38.3003308773041,21.6642086969805,0
384,38.4003863334656,21.6642086969805,0
385,38.5001316070557,21.6642086969805,0
386,38.6000161170959,21.6642086969805,0
387,38.7004680633545,21.6642086969805,0
388,38.8000133037567,21.6642086969805,0
389,38.9001071453094,21.6642086969805,0
390,39.0000801086426,21.6642086969805,0
391,39.1000452041626,21.6642086969805,0
392,39.2000710964203,21.6642086969805,0
393,39.3001191616058,21.6642086969805,0
394,39.4001107215881,21.6642086969805,0
395,39.4999716281891,21.6642086969805,0
396,39.6001002788544,21.6642086969805,0
397,39.6999504566193,21.6642086969805,0
398,39.7999653816223,21.6642086969805,0
399,39.9000217914581,21.6642086969805,0
400,40.0000050067902,21.6642086969805,0
401,40.0999867916107,21.6642086969805,0
402,40.2003383636475,21.6642086969805,0
403,40.3002161979675,21.6642086969805,0
404,40.4000499248505,21.6642086969805,0
405,40.5000486373901,21.6642086969805,0
406,40.6000456809998,21.6642086969805,0
407,40.7003245353699,21.6642086969805,0
408,40.8000040054321,21.6642086969805,0
409,40.9000382423401,21.6642086969805,0
410,40.9999272823334,21.6642086969805,0
411,41.1000306606293,21.6642086969805,0
412,41.2001383304596,21.6642086969805,0
413,41.2999958992004,21.6642086969805,0
414,41.4000625610352,21.6642086969805,0
415,41.5001735687256,21.6642086969805,0
416,41.6000525951386,21.6642086969805,0
417,41.7002611160278,21.6642086969805,0
418,41.7999806404114,21.6642086969805,0
419,41.9000408649445,21.6642086969805,0
420,42.0001013278961,21.6642086969805,0
421,42.1001234054565,21.6642086969805,0
422,42.200038433075,21.6642086969805,0
423,42.3000998497009,21.6642086969805,0
424,42.4000444412232,21.6642086969805,0
425,42.5000936985016,21.6642086969805,0
426,42.600040435791,21.6642086969805,0
427,42.699996471405,21.6642086969805,0
428,42.8000063896179,21.6642086969805,0
429,42.9001455307007,21.6642086969805,0
430,43.0001842975616,21.6642086969805,0
431,43.099907875061,21.6642086969805,0
432,43.2002787590027,21.6642086969805,0
433,43.3007209300995,21.6642086969805,0
434,43.4000015258789,21.6642086969805,0
435,43.5001585483551,21.6642086969805,0
436,43.6001613140106,21.6642086969805,0
437,43.7000832557678,21.6642086969805,0
438,43.8001134395599,21.6642086969805,0
439,43.9000136852264,21.6642086969805,0
440,43.9999353885651,21.6642086969805,0
441,44.099928855896,21.6642086969805,0
