,time,u,v,w,roll,pitch,yaw
868,86.8001110553741,-1.02070772647858,0.193859472870827,0,0,0,0.0833912566304207
869,86.8869128227234,-1.02148365974426,0.187004432082176,0,0,0,0.0833650901913643
870,87.0053977966309,-1.02339625358582,0.173328533768654,0,0,0,0.0833391547203064
871,87.1010303497314,-1.02404224872589,0.166470631957054,0,0,0,0.0833134427666664
872,87.1949594020844,-1.02464616298676,0.159614250063896,0,0,0,0.0832879543304443
873,87.3006315231323,-1.02595865726471,0.147634252905846,0,0,0,0.0832626819610596
874,87.4001615047455,-1.02644419670105,0.140778854489326,0,0,0,0.0832376331090927
875,87.5001196861267,-1.02688789367676,0.133925601840019,0,0,0,0.0832128003239632
876,87.5828495025635,-1.02728950977325,0.127074986696243,0,0,0,0.0831881836056709
877,87.762866973877,-1.02861392498016,0.111673802137375,0,0,0,0.0831637755036354
878,87.763444185257,-1.02815473079681,0.111669026315212,0,0,0,0.0831395834684372
879,87.8994784355164,-1.02892935276032,0.0996952876448631,0,0,0,0.0831156000494957
880,87.9949960708618,-1.02927112579346,0.0911443307995796,0,0,0,0.0830918177962303
881,88.1005909442902,-1.02981424331665,0.0791745036840439,0,0,0,0.0830682441592217
882,88.2012612819672,-1.02987408638,0.0723416060209274,0,0,0,0.0830448791384697
883,88.2907574176788,-1.02989232540131,0.0655132532119751,0,0,0,0.0830217078328133
884,88.4024741649628,-1.03014850616455,0.053558636456728,0,0,0,0.082998737692833
885,88.5002636909485,-1.03004968166351,0.046740397810936,0,0,0,0.0829759687185288
886,88.5913035869598,-1.02990925312042,0.0399271100759506,0,0,0,0.0829533934593201
887,88.707662820816,-1.02987957000732,0.027994379401207,0,0,0,0.0829310119152069
888,88.8002066612244,-1.02958595752716,0.0229016002267599,0,0,0,0.0829088240861893
889,88.8910772800446,-1.02932405471802,0.0144000165164471,0,0,0,0.0828868299722672
890,89.0581357479095,-1.02901220321655,0.000788813689723611,0,0,0,0.08286502212286
891,89.0607018470764,-1.02860343456268,0.000828825577627867,0,0,0,0.0828434005379677
892,89.2008371353149,-1.02813911437988,-0.0110564641654491,0,0,0,0.0828219726681709
